Counter,Date,User,Comment
11,"April 13, 2007 12:33PM","
perna ","
P.S. the CVT in the Altima has to be driven like a motorcycle. You need to floor the pedal until you reach the speed you want and ease off. Very binary behavior - and the opposite of a normal transmission. If you ease into it progressively harder, like you are used to, it accelerates like your grandmother. Heh, maybe that's why I didn't notice a problem with the CVT. Typically, in rush hour traffic you don't really notice it, but when I'm going up an entrance ramp, for example, I will point the Maxima in the direction it needs to go, give it just a bit of gas so I don't spin the tires, and ZOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOM. It's a lot like an airplane turning onto a runway for takeoff. That's how I drove the Altima, and the CVT must be a pretty good match for my driving style. I see people driving Maximas and Altimas like Buicks, and just shake my head. It's like, why didn't you just save $10k and buy an Impala?? They're four door sports cars, and I have the insurance tab to prove it (despite having zero accidents or tickets in my 15 years of driving). "
12,"April 13, 2007 12:39PM","
perna ","
Its interesting how that happens. There is no real successor to the Contour, and I think the Mazda6 (V6/MTX) is the closest thing available from Ford. I personally found the Altima to be great looking but a bit pricey. I really, really like the Fusion. More than the Contour, that's for sure! I just couldn't get over the Fusion's lack of power compared to what I was used to, and could Ford put any more basic of a stereo into that car?? The car drove VERY well, and I really liked the interior/exterior of the thing. I suspect that when I go to replace my Maxima in a few years, I will get sticker shock. I got a tremendous deal on it since the redesigned '04s were like 2 weeks out, and the dealer wanted to get rid of the '03s BADLY. The Altimas are much more popular cars, and I'm sure my discount won't be nearly as nice. Then again, maybe I will be able to swing a G35 by the time my Maxima needs replacing. :shades: "
13,"April 13, 2007 3:29PM","
jd10013 ","
What do you think of the CVT in the Altima? I've heard some people say that it feels slow off the line even though it's not. depends how you drive it. Its computer controlled with 300 or so algorithms progamed into it. It kind of adapts to you. Personaly, I think it's incredible. But, you don't need to ""stomp"" on the gas to get it to go. durring the break-in period, I found myself having to watch the RPM's so as not to go over the 4000 the owners manual says to stay under. If you were to give it full acceleration, you'd go over 5000 rpm's and hit 60 mph in about 6 or 7 seconds. But, because it's so damn smooth and quiet, it doesn't feel like its moving that fast. But a quick look in the rear view, will show you how fast it's actually going. But in addition to that, you get much better acceleration at higher speeds, and it will employ engine braking on it's own when going down a steep incline. It deffinitly takes a couple hundred miles to get used too, but the CVT is undoubtly the future of transmissions. look for everybody to swithch to them in the next 5 years or so. The cvt will do to automatic transmissions what fuel injection did to carburators. "
14,"April 13, 2007 4:01PM","
backy ","
The LaCrosse is a step up from the mid-sized sedans in this group. The Passat should qualify. The S40 is a compact car, on the Mazda3 platform. The Jeep Compass is a cross-over SUV. You would probably get laughed out of the Jeep dealership if you called it a ""mid-sized sedan.""I agree with other posters that the Malibu should certainly be mentioned in the banner of this discussion, and DC should be represented by the Sebring at least, if not by its Dodge cousin (even though I personally think they are woeful vehicles). "
15,"April 13, 2007 6:08PM","
bhmr59 ","
Our 2 person business jsut bought it's second Sonata. The '05 is GLS ""special value"" (an LX without leather or power seat). The '07 is an SE w/XM and floor mats. A couple less features, but a lot more safety features and some additonal goodies. My brother drives the '07 and almost everyday remarks about this feature or that, the power, the comfort, gas milage, etc. He says, ""Beats the (stuff) out of the '94 Olds 98 all around."" Better everything. His nose was down on Sonata unti I made him take one for a test drive. Everyone in he mid-sized market should consider Sonata. Sonata has come a long way since it was first introduced, how ever many years ago? "
16,"April 13, 2007 6:18PM","
scape2 ","
what started this HP war in family sedans?? and where its going to stop. The Fusion which has the lowest HP/torque ratings in this class still does 0-60 in 7.0 seconds. Not bad for what is supposed to be a ""family sedan""?? Bragging rights is what manufacturers are after. My family sedan can do 0-60 in 4.8 seconds.. for me, so what? I would be willing to bet most of us are stuck in traffic that doesn't go much more than 60mph.. I look for value/content when looking at a vehicle. I want more safety, more comfort, more substance for my $$.. Nice to see this room finally open by the way..  "
17,"April 13, 2007 6:52PM","
phaetondriver ","
I have read one or two comments here about the Aura and they were that the writer hadn't driven one.I have had my Aura XR for about a month now. My first GM car since 1972 (Vega Kahmback  )I am very impressed with the car in every aspect I buy a car for. I can only compare it here to the Chevy Impala and Malibu. I was within a day or two of buying a Chevy when I read about the 2007 Car of the Year. When I read about the Cadillac 3.6 L V6 producing 252 H-P and 252 Ft/lb of torque I was interested. Then I read it was connected to a 6 speed auto with paddle shifters on the steering wheel. I knew I had to drive one before I bought a chevy.One drive and I knew this was a way better car than the Malibu or Impala with either of the Chevy V6's 3.5 or 3.9 L engines. The Chevy's don't have Traction control, Stability control or half as many air bags as the Aura. So I was most impressed with the ride, handling, and the Oh My God acceleration. (hold on tight when you punch the 3.6 as the torque-steer will just about yank the steering wheel out of your hands.Ok! I lied, this was a nickels worth :shades: "
18,"April 13, 2007 7:01PM","
thegraduate ","
Is the horsepower of todays cars that different than the massive V8 horsepower wars of 30-45 years ago, really? I mean, if cars can have 260+ horsepower and have 2008 revised fuel economy estimates in the mid 20s combined like the Camry does, where is the problem? Bring on the power if the economy comes with it, I say. Apparently, power matters to some people, or they wouldn't get the V6 models. Personally, I drive the I4, since economy matters to me.It has more safety content than the Ford you chose, interestingly. You value different things however, so the Ford was right for you obviously.Here is a rundown of 2007 model vehicles with the new 2008 EPA estimates, for everyone's reference (all automatics):Chevy Malibu 2.2L I4 - 21/31Chevy Malibu 3.5L V6 - 19/30Chevy Malibu 3.9L V6 - 16/23Ford Fusion 2.3L I4 - 20/29Ford Fusion 3.0L V6 - 18/26Honda Accord 2.4L I4 - 21/31Honda Accord 3.0L V6 - 18/26Hyundai Sonata 2.4L I4 - 21/30Hyundai Sonata 3.3L V6 - 18/27Kia Optima 2.4L I4 - 21/31Kia Optima 2.7L V6 - 20/28Mazda 6 2.3L I4 - 21/28Mazda 6 3.0L V6 - 17/25Mitsubishi Galant 2.4L I4 - 20/27Mitsubishi Galant 3.8L V6 - 16/25Nissan Altima 2.5L I4 - 23/31Nissan Altima 3.5L V6 - 20/26Toyota Camry 2.4L I4 - 21/30Toyota Camry 3.5L V6 - 19/28I left out some models (this took awhile!) but for more info, check out fueleconomy.gov "
19,"April 13, 2007 7:26PM","
autoboy16 ","
SO cool, Post number 20 in room 2.0!! The last room had soo many posts and problems!! GREAT JOB PAT!But back on topic, Y is it that the ford fusion and mazda 6 use many of the same parts and the same engine blocks but their MPG isn't the same? Maybe aerodynamics?I hope the next 6(26) gets the 3.5lv6, 6speed auto, and AWD across the line. I also hope the fusion gets these changes. Hopefully, Ford is working on better 4cyl engines so the Fusion can be higer in the MPG ranks! or Diesels... While somewhat on the subject of MPG, i cant wait until VW puts the new 2l diesel engine in the passat!! I'm really getting into this diesel thing!-Cj  "
20,"April 14, 2007 3:33AM","
jeffyscott ","
Y is it that the ford fusion and mazda 6 use many of the same parts and the same engine blocks but their MPG isn't the same? Maybe aerodynamics? It could be that (though it would seem to me the Mazda6 would then get the better rating). Rounding may exaggerate differences. If two cars are measured at 29.4 and 29.6 mpg, one gets a rating of 29 and the other 30.I think I have read that there are some differences in the tuning of the engines and maybe in the heads, also. "
21,"April 14, 2007 6:04AM","
lilengineerboy ","
I hope the next 6(26) gets the 3.5lv6, 6speed auto, and AWD across the line.Oh I definitely hope not. The bigger V6 is great, but its one of the few midsizers with a manual transmission (although a 6 speed manual like the MazdaSpeed6 would be fine with me) and not everyone wants or needs the weight and fuel economy penalty associated with AWD.If you are looking for a powerful AWD midsized sedan, I would look at a Legacy GT. "
22,"April 14, 2007 7:15AM","
backy ","
I saw a report in my local paper yesterday that noted a Motor Trend story (not yet on their web site) about the new Mazda6. It said the styling would be daring, with the roof swept back behind the driver for a sleek look even if it takes away rear head room. Looking around the web, there is general consensus that tne new 6 will be considerably bigger (for more rear leg room) and more powerful than the current model, with the Ford 3.5L V6. I would like to see it get an economical I4 with decent power and a 6-speed stick in the low-end trim line. "
23,"April 14, 2007 12:22PM","
elroy5 ","
 It said the styling would be daring, with the roof swept back behind the driver for a sleek look even if it takes away rear head room. Looking around the web, there is general consensus that tne new 6 will be considerably bigger (for more rear leg room) Maybe I am not understanding this, but it doesn't sound right. Tall people sitting in the back seat will have more leg room, and less head room. I guess they will have to slouch a lot huh? :confuse: "
24,"April 14, 2007 12:38PM","
lilengineerboy ","
I am struggling with the trend to make everything bigger. The Civic is about the same size as my old Accord (although heavier), the Accord is bigger than the 80s Crown Vics. I don't need a mile between the front and back seat, I just need room for a carseat or 2, and that is only occasionally.Even BMW did it, now they are talking about a 1-series that will be about as big as an E30. "
25,"April 14, 2007 1:02PM","
elroy5 ","
I have been driving Accords for 16 years now. 12 years with the first one, and 4 years (with many more to come) on the second. The Accord, despite being a 5 year old design, competes or beats cars that are completely new designs. Some competitors have more hp, and some even have better fuel economy, but the Accord's total package is hard to beat. The attention to detail, keeps the Accord at the top of the heap. Tight build quality, great ergonomics, smooth ride, confident handling, smooth drivetrains, and good power in I4 or V6 versions add up to a car that does everything very well. If you are looking to buy a midsize sedan, I highly recommend the Accord. I have to warn you that this car could spoil you, and you will not be able to consider another brand again.  "
26,"April 14, 2007 1:02PM","
thegraduate ","
the Accord is bigger than the 80s Crown Vics.Maybe inside, yeah. At 6'4"", my 2006 Accord is the smallest/most efficient new car I could comfortably drive. I hope they keep the efficiency and grow the interior room, personally. The Civic does have similar room inside with my 1996 Accord. Weighs about the same too (2,800 lbs or so). "
27,"April 14, 2007 3:38PM","
backy ","
I guess we'll have to see the new Mazda6 to see what the rear seat accomodations are like, but what I'd expect is that, if they use a swept-back roofline but a longer wheelbase, they could mount the rear seat low (ala Civic or Prius) and still have enough head room--albeit maybe not class-leading headroom. "
28,"April 14, 2007 3:57PM","
jeffyscott ","
the Accord is bigger than the 80s Crown Vics.In what way?Not in Passenger Volume:2007 Accord = 103 ft3 1985 Crown Vic = 111 ft3But, yes these mid size cars are big enough, already. "
29,"April 14, 2007 7:19PM","
elroy5 ","
I am struggling with the trend to make everything bigger.I think this is an American thing. We seem to be living longer, and growing larger. I am a few inches taller, and a few pounds heavier than my father. Most of my friends seem to be larger than their parents too. If you are one of us, you appreciate the interior space. If you don't feel the need for more space, I still don't see the problem. If you would be content will the space of say a 96 Accord, you can get that from the current Civic. The 96 Altima is probably about the same size as the current Sentra. As we Americans get larger and larger, our cars are growing with us. "
30,"April 14, 2007 7:28PM","
jd10013 ","
not always. the 07 altima is a few inches smaller than the 06. But, it's just a simple matter of affluence. bigger, in some cases, is better. a larger car offers more room and hence, more comfort. especially for people with a family. As people become wealthier, the larger and more expensive cars become affordable for them. Most people tend to buy as much car as they can afford.It was one of the primary reasons I bought my altima. The wife and kids fit in it better than the 4 door civic she drives. I still drive my 2 door coupe to and from work because of the better MPG, but for the family car, I wanted bigger. "
31,"April 14, 2007 7:30PM","
thegraduate ","
Nobody I know of has mentioned this, but could Nissan be trying to differentiate the Altima and Maxima a little bit better with the size difference (Altima made smaller)? "
32,"April 14, 2007 7:36PM","
jd10013 ","
I doubt it. although the altima is smaller this year, It isn't by much. Just an inch or two. In contrast, it appears to me, that nissan isn't trying to differentiate the two. A fully loaded 3.5sl altima isn't that different from a max. "
33,"April 14, 2007 7:43PM","
backy ","
Nissan is differentiating the Altima from the Maxima in several ways:* Price: Altima starts around $20k, several thousand less than the Maxima.* Powertrains: Altima has I4, V6, and hybrid powertrains available; Maxima is V6 only.* Content: Altima is positioned as a family sedan, although a sporty one; Maxima is positioned as a near-luxury sedan, with a more upscale interior and features like the sky roof.* Models: Altima is available (soon) as a sedan and a coupe; Maxima is a sedan only. "
34,"April 14, 2007 7:47PM","
thegraduate ","
Interestingly, with the refreshed Maxima and the new Altima, i've pointed out to my friends ""look, a new Altima"" by looking at the fascia, only to be mistaken that it the car I was seeing was actually a revised Maxima, so you may have a point jd10013. "
35,"April 14, 2007 7:47PM","
elroy5 ","
not always. the 07 altima is a few inches smaller than the 06. The 07 Altima is shorter, but it is also wider. The few inches shorter probably didn't cause the car to loose any leg room, but the few inches wider probably helped with hip room. Without checking the figures, I bet the interior volume increased, rather than decreased, despite the body dimensions. "
36,"April 14, 2007 7:49PM","
thegraduate ","
I just read in my Dec. 2006 issue of Motor Trend about the poor amount of headroom for anyone over 6', as well as the backseat being ""skimpy for the class."" The trunk is overly massive however, at 18 cu.ft.The previous Altima was noted for a nice large interior, IIRC. "
37,"April 14, 2007 7:59PM","
jd10013 ","
Nah, the car has plenty of room. at least equal to others in its class. I'm not saying this as a nissan homer (which I am) but the '07 is by far the best, and most complete altima nissan has made. It's probably still a notch below the accord, but I'd also put it slight bit better than the camry, and the mazda6. The rest, IMHO, are quite a few notches below those four. "
38,"April 15, 2007 6:11AM","
backy ","
I had the opportunity to compare the Altima and Versa side-by-side at my local auto show recently. When the driver's seat was adjusted for my 5'10"" frame, the Versa had noticeably more legroom than the Altima. Part of that was because the Versa had lots of foot space under the driver's seat, moreso than the Altima.Every review I've read on the new Altima notes its reduced rear legroom compared to the prior generation. Not that the legroom is unacceptable for a mid-sized sedan (not nearly as crasmped as the Mazda6 or Legacy, for example), but it's no longer at or near the top of the class in that regard. "
39,"April 15, 2007 7:15AM","
jeffyscott ","
I guess we have a different concept of ""cramped"". My 6 foot son is able to sit behind 5'11"" me in my Mazda 6, without feeling ""cramped"".This is why these cars keep getting bigger and bigger. The perfectly adequate (to me) Mazda6 is called ""too small"" and ""cramped"". I read the same complaints about the Contour, which was a little tight, but the back seat was usable and at least set at a comfotable height. Those who criticized that car's rear seat, apparently were unaware that Ford made the Taurus and Crown Vic for those wanting a more spacious back seat. "
40,"April 15, 2007 10:12AM","
backy ","
Everyone's legs are different. I know for example that the Mazda6 has less rear leg room than my previous-gen Elantra, a compact car. I would not reject the Mazda6 only because of its rear leg space, as I think it's adequate (barely) for my needs, but my point is that most mid-sized cars have more interior volume and rear-seat space than the Mazda6. Even the current-gen compact Elantra has more of both. When I pay for a mid-sized car, I'd like mid-sized room. Otherwise I may as well buy a compact and save the extra bucks. "
41,"April 15, 2007 1:07PM","
jd10013 ","
Altima notes its reduced rear legroom compared to the prior generation.Yes, it is a little less, but fairly negligable. It was the rear headroom that was hit hardest because of the slopping roofline, though it will still comforably fit people under about 6'2. But the aim for the 07 redesign wasn't to lead the class in leg, head, or overall room. It was to be the best handling front wheel drive sedan on the road. Wheather or not it sucseeded is pretty subjective, but with the near elimination of torque steer, fastest 0-60 time ect, its by far the best performing altima yet. And, deffintly equal to, if not better, than the competition. "
42,"April 15, 2007 2:01PM","
jeffyscott ","
I know for example that the Mazda6 has less rear leg room than my previous-gen ElantraNot according to measurements reported in CR and listed here on Edmunds. Both indicate that Elantra had 1.5 inches less rear leg room than the Mazda6 does. "
43,"April 15, 2007 2:34PM","
lilengineerboy ","
bigger, in some cases, is better. a larger car offers more room and hence, more comfort.I don't see the Space = Comfort thing. Grippy supportive seats, properly spaced accelerator, brake, and clutch, short to moderate throws on the shifter, and a relatively small diameter grippy wheel = driving comfort for me.I also accept that I am not a typical consumer. I really wish I was; I wish I didn't care about how cars feel or driving dynamics and I could just get the Accord or Taurus or something and be done with it. I am sure eventually I will get old and have some 3 hour 30 mile each way commute like everyone else and I won't care. Oh well. "
44,"April 15, 2007 3:27PM","
elroy5 ","
 I wish I didn't care about how cars feel or driving dynamics and I could just get the Accord or Taurus or something and be done with it. Us Accord drivers do care about driving dynamics. Which is why we don't drive Camrys or Buicks. Of course driving dynamics aren't everything. I want to be comfortable, even on long trips. And ""Fun to drive"" is nice, on occasion, but how aggressive can you get with a family car, with the family in it? Since I don't pull big G-forces around corners every day, I want a balance of handling and comfort. "
45,"April 15, 2007 3:50PM","
lilengineerboy ","
Of course driving dynamics aren't everything.I might disagree with that statement. This is how vehicles differentiate themselves.I want a balance of handling and comfort.I totally agree with this statement. That ""balance"" is very subjective. Vehicles like the E36 3-series had a great balance, it was very sporty and handled very well and absorbed bumps and expansion joints very nicely, and this was over 10 years ago.The amount of time this vehicle will have more than 1 occupant is mayyyybeee 20%. That one occupant is neither tall nor hefty. The commute is an easy 20-30 minute drive with light traffic. Almost every other vehicle I've had has been able to get me to school or work or both and back, and been an entertaining autocross or HPDE companion.As I said before, I realize I am not a typical consumer, but I do need 4 doors, 5 seatbelts, 3 pedals and room for a couple of car seats. Perhaps I should go down a size class and look there. "
46,"April 15, 2007 4:31PM","
backy ","
According to my experience actually sitting in both cars, I have more rear seat leg room in my '04 Elantra.The published measurements can be deceiving. They do not take into account seat height and contouring, and toe space. So one car may have, by the numbers, more rear seat leg room but not feel as spacious as another car with lower numbers.So I always do a ""sit test"" when shopping for cars, and don't just depend on the numbers. "
47,"April 15, 2007 4:42PM","
elroy5 ","
 Almost every other vehicle I've had has been able to get me to school or work or both and back, and been an entertaining autocross or HPDE companion.No midsize car is designed for that. Not even a 6.As I said before, I realize I am not a typical consumer, but I do need 4 doors, 5 seatbelts, 3 pedals and room for a couple of car seats. Perhaps I should go down a size class and look there.Seems to me what you need is one of those off-road-rally type cars, not a midsize sedan. I've watched a few of those races. Don't they use cars like the Mitsu Lancer, or a small Subaru? Something lighter, and more nimble than a Mazda 6. "
48,"April 15, 2007 6:12PM","
jd10013 ","
the space=comfort thing is more for the passengers. As others have said, the altima, accord, camry, fussion, ect are family cars.But I know where your coming from. Its why I decided to keep my coupe instead of tradding it in when I bought my altima.  "
49,"April 15, 2007 7:03PM","
elroy5 ","
Sometimes I will drive somewhere 5-600 miles just because I enjoy driving. But the car has to be comfortable, and easy to drive. I drove to northern Arkansas (700 miles) to visit my sister once in a pickup truck. That was not enjoyable, at all. Never again, I couldn't wait to get home. I need something easy to drive and comfortable. Considering I've had back surgery for two ruptured disks in my lower back, lumbar support is also a necessity. "
50,"April 15, 2007 7:11PM","
bhmr59 ","
I remember that you are very big on Honda and down on the Sonata. Have you driven an '07 Sonata? It seems to have everything you want in a car and more. If you haven't tried it, you might be very pleasantly surprized. My brother got a new Sonata the end of Feb. He was amazed at the stability control and traction control on two different snowy days. He wasn't sure what was happening, at first, just that the car did what he was intending it to do. "
51,"April 15, 2007 7:36PM","
elroy5 ","
No, I have not driven a Sonata. I have driven Camrys, and from what I've heard the Sonata is patterned after the Camry, and has many of the same dynamics. I have driven a new Optima (don't know how similar they are), and was not impressed with the driver's seat (or much else). It reminded me of the thinly padded seat in my old Nissan Sentra work car. Honda has a reputation that I trust. I could spend my $$$ on it, knowing I would be satisfied. Hyundai is something I would be taking a chance on, and I am not a risk taker. As far as the snow thing, in south Louisiana we may get snow once every 20 years (I am 44 years old, and have seen snow here twice, and maybe an inch or two). "
52,"April 15, 2007 10:40PM","
plekto ","
Of course the Buick LaCrosse qualifies. It certainly isn't a luxury car, and GM placed it as the replacement for the Regal. Cost-wise, it's right where the Accord and others are as well.Small car? No. Large? Not really. Luxury? Nope. Sporty? Gotta be kidding. That basically leaves 20-30K family sedan, which is what this group seems to be about. "
53,"April 15, 2007 11:17PM","
punkr77 ","
One thing that drops the Maxima off my shopping list (but won't matter to 95% of buyers) is no manual tranny option. The Altima can be had with a manual. "
54,"April 16, 2007 4:25AM","
backy ","
Good point. Another way Nissan differentiates between the Altima and Maxima. "
55,"April 16, 2007 5:49AM","
lilengineerboy ","
Elroy,Autocross is typically a ""course"" configured with a bunch of traffic cones in a parking lot. Emphasis is much more on driver skill and car control than overall top speed, as cars rarely get above 2nd gear.HPDE stands for high performance driving event, which used to be called ""hot lapping days"" at local road courses. In California, this means Willow Springs (and 'Streets), Buttonwillow, Laguna Seca, Sears Point, etc. The Contour with slightly upgraded brakes and R-compound tires was amazingly competitive in its class. Incidentally, the early 90s Accords do well in autocross type events, especially with a warmed over suspension.Anything off road will have a very different suspension, there might be some confusion between rally-cross (auto-cross in the mud) or true rally stage races and the on-pavement events.That said, stock road going versions of the WRX/STI and EVO (the Subie and Mitsu) are very popular at these events beginning in the late 90s when the Civic and Sentra started to lose their sport compact following. Like I said earlier, if BMW can have the ride/handling balance they had in 1992/3, why can't other automakers figure out how to do that now? "
56,"April 16, 2007 6:26AM","
jeffyscott ","
Like I said earlier, if BMW can have the ride/handling balance they had in 1992/3, why can't other automakers figure out how to do that now? Their job is not to figure that out. Their job is to build cars that consumers want to buy. When the top 3 selling vehicles (in 2006) are F-150, Siverado, and Camry and the top 8 include another truck, Corolla, and Impala...this does not lead one to believe that consumers are looking for BMW-like vehicles, does it? "
57,"April 16, 2007 6:54AM","
lilengineerboy ","
Their job is to build cars that consumers want to buy.This is an interesting use of the word ""want."" I think their task is to make vehicles people feel they ""need."" I don't want a new CamCord particularly, I want something fun to drive that can go around corners well and doesn't physically beat me up on the freeway. I need a car with 4 doors, 5 seatbelts, and 3 pedals (well, okay the 3 pedals is a want, but I won't buy an auto).Also, I would argue that their job isn't to make cars people want, rather their job, especially to their shareholders, is to be profitable. BMW seems to be able to do that with a very low volume.  "
58,"April 16, 2007 7:51AM","
jeffyscott ","
I guess I have to be more careful about closing those loopholes  . Let me put it this way...their job is to build cars that people will buy at a price that generates a profit.Is BMW low volume in Europe?Toyota seems to be very profitable at high volume and has the biggest selling mid-size car, despite the fact that you (or I) will not buy one. "
59,"April 16, 2007 8:28AM","
thegraduate ","
Toyota seems to be very profitable at high volume and has the biggest selling mid-size car, despite the fact that you (or I) will not buy one. This is likely due to the fact that Toyota doesn't try to sell ""clearance rack"" vehicles, which many automakers have been guilty of, less so recently. They build (arguably maybe, lately) high-quality cars for the most part, and don't have to sell them at major discounts. People like high-quality, and apparently are willing to pay a little more for it. I imagine when Honda comes out with is new Accord, prices will be right back at sticker (as opposed to right now where people are getting real steals of $1,000-$1,500 below invoice since the current Accord is in its last few months of life). Honda also builds high(er) quality vehicles than much of its competition, and people are willing to pay more for it (and when the higher sale price outweighs the higher build price due to better quality, more profit is had). "
60,"April 16, 2007 9:35AM","
lilengineerboy ","
Toyota seems to be very profitable at high volume and has the biggest selling mid-size car, despite the fact that you (or I) will not buy one.As Toyota exec said at NAIAS 2 years ago: the number one selling ice cream flavor in the US is vanilla. Big companies like Toyota design their vehicles to appeal to the broadest group. They are designed to not offend anyone and have a high feature content. They make relatively few models (the Honda 2 model 3 trim line is the master of this) and they will work for most of the people. Its the people that want something more interesting or exciting that don't meet the criteria.Smaller companies like BMW design vehicles to appeal to those who do want something with a little more soul. An example is very few Toyotas are available with a manual transmission (and since its only ~8% of the market, Toyota doesn't care), while almost every BMW is available with a manual transmission.BMW is low volume relative to other manufacturers (VW, Peugeot, Renault) even in Europe. They are also very profitable. "
61,"April 16, 2007 9:36AM","
lilengineerboy ","
Honda also builds high(er) quality vehicles than much of its competition, and people are willing to pay more for it (and when the higher sale price outweighs the higher build price due to better quality, more profit is had).This is the perception at this point, anyway. "
62,"April 16, 2007 9:48AM","
jeffyscott ","
I think it's not really quality that sells the Camry (remember, we are only discussing mid-size cars here  ), instead I beleive it is more about ""reliability"". The perception of many is that if you buy a Camry, it will require very few or no repairs. "
63,"April 16, 2007 10:24AM","
scape2 ","
Take a look at the Car and Driver comparison. 2x not just once the Fusion beat out the Camry and Accord. Once on the East Coast and once on the West Coast. READ the comparison. These are everyday people NOT Ford employees like some like to spread misinformation. Also, some say, the Fusion has AWD, not fair.. So is the Camry/Accord having stability control fair? Read the article these are Like Vehicles, and are all V6's too before that excuses pops up.. Word is spreading folks, consumers are taking notice of other brands of vehicles. Frankly, I won't spend the extra $$ for a perceived reliability/quality advantage. "
64,"April 16, 2007 11:37AM","
jd10013 ","
It's not just perception. Fords (and GM for that matter) ALWAYS finish at or near last in reliability surveys. US automakers nearly abandoned their passenger cars back in the 90's and focused all their money, research, and time on SUV's. They let top selling cars like the taurus rot on the vine never thinking or caring that the SUV craze would someday come to an end. And now, they find themselves 10yrs behind japan in automotive technology and design. "
65,"April 16, 2007 11:51AM","
thegraduate ","
I'm going to tackle several replies in one post, so bear with me...In automotive technology they are somewhat behind the curve (less efficency and less power from the engine in the Fusion vs. that in the Accord). They are not so behind as to be ridiculed too harshly, however (Ok, the 4.0L in the Explorer and Mustang is a rough old dog compared with the sixes of THIS century) but the Fusion is perfectly adequate and is competitive.In reliability, Ford's Fusion is doing quite well. Unfortunately that doesn't translate across the line, however (my parents are shopping for a second car, possibly a convertible, or maybe an SUV - the Explorer and the Mustang were both unable to be recommended by CR because of poor relibaility). The Fusion however, is well above average according to CR.For some in this forum, it seems that you are more defensive of your choice than you have to be. Nothing in here has to get personal, and because one person drives a Nissan and another drives a Toyota, it doesn't mean that the driver of one thinks the buyer of the other is stupid, so quit implying that. Quality IS perception, scape. I ""perceive"" the knobs, buttons, materials, and design to all be of higher quality, with better motion to things like blinker stalks, HVAC, and stereo, in my Accord than in the Fusion. You perceive it differently. If it's not perception, I'd love to see the quantitative facts proving different. Otherwise, it is subjective perception. "
